NO_PRODUTO;DS_CATEGORIA_PRODUTO;NO_PRINICIPIO_ATIVO;DS_CONCENTRACAO;DS_DESTINACAO;DS_FORMA_FISICA;DS_RESTRICAO_PRESCRICAO;ST_RESTRITO_HOSPITAL;DS_RESTRICAO_USO
RESFRYNEO;ANALGESICOS NAO NARCOTICOS;PARACETAMOL;200,00;;SOLUÇAO ORAL;VENDA SEM PRESCRIÇAO MEDICA;Não;Adulto
RESFRYNEO;ANALGESICOS NAO NARCOTICOS;PARACETAMOL;200;;SOLUÇAO ORAL;VENDA SEM PRESCRIÇAO MEDICA;Não;Adulto
RESFRYNEO;ANALGESICOS NAO NARCOTICOS;PARACETAMOL;200,00;COMERCIAL;SOLUÇAO ORAL;VENDA SEM PRESCRIÇAO MEDICA;Não;Adulto
RESFRYNEO;ANALGESICOS NAO NARCOTICOS;PARACETAMOL;400;COMERCIAL;CAPSULA GELATINOSA DURA;VENDA SEM PRESCRIÇAO MEDICA;Não;Adulto
RESFRYNEO DUO;ANALGESICOS NAO NARCOTICOS;CLORIDRATO DE FENILEFRINA;20,00;;COMPRIMIDO SIMPLES;;Não;Adulto e Pediátrico acima de 
RESFRYNEO DUO;ANALGESICOS NAO NARCOTICOS;PARACETAMOL;400;;COMPRIMIDO SIMPLES;;Não;Adulto e Pediátrico acima de 
RESFRYNEO DUO;ANALGESICOS NAO NARCOTICOS;PARACETAMOL;400,00;;COMPRIMIDO SIMPLES;;Não;Adulto e Pediátrico acima de 
RESGAT;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;FUROATO DE MOMETASONA;1;COMERCIAL;CREME DERMATOLOGICO;VENDA SOB PRESCRICAO MEDICA;Não;Adulto e Pediátrico acima de 
RESGAT;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;FUROATO DE MOMETASONA;1;COMERCIAL;POMADA DERMATOLOGICA;VENDA SOB PRESCRICAO MEDICA;Não;Adulto e Pediátrico acima de 
RESIST;OUTROS PRODUTOS COM ACAO IMUNOPROTETORA;CLORIDRATO DE LISINA;500,00;;CÁPSULA;;Não;Adulto
RESPHY;PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE;CLORIDRATO DE FENILEFRINA;4,00;COMERCIAL;CAPSULA GELATINOSA DURA;;Não;Adulto
RESPHY;PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE;MALEATO DE CLORFENIRAMINA;4,00;COMERCIAL;CAPSULA GELATINOSA DURA;;Não;Adulto
RESPHY;PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE;PARACETAMOL;400,00;COMERCIAL;CAPSULA GELATINOSA DURA;;Não;Adulto
RESPIDON;NEUROLEPTICOS;risperidona;1,00;;COMPRIMIDO REVESTIDO;;Não;Adulto e Pediátrico acima de 
RESPIDON;NEUROLEPTICOS;risperidona;2,00;;COMPRIMIDO REVESTIDO;;Não;Adulto e Pediátrico acima de 
RESPIDON;NEUROLEPTICOS;risperidona;3,00;;COMPRIMIDO REVESTIDO;;Não;Adulto e Pediátrico acima de 
RESPILUKAST;ANTIASMATICOS;MONTELUCASTE de SÓDIO;4,2;;COMPRIMIDO MASTIGAVEL;;Não;Adulto
RESPILUKAST;ANTIASMATICOS;MONTELUCASTE de SÓDIO;5,2;;COMPRIMIDO MASTIGAVEL;;Não;Adulto
RESPILUKAST;ANTIASMATICOS;MONTELUCASTE de SÓDIO;10,40;;COMPRIMIDO MASTIGAVEL;;Não;Adulto
RESPIRAN;BRONCODILATADORES;ACEBROFILINA;5,0;;XAROPE;;Não;Pediátrico acima de
RESPIRAN;BRONCODILATADORES;ACEBROFILINA;10,0;;XAROPE;;Não;Adulto
RESPITRAT;;DESLORATADINA;0,50;;Solução ;;Não;Adulto e Pediátrico acima de 
Resplix;FITOTERAPICO SIMPLES;HEDERA HELIX L.;7,00;;XAROPE;;Não;Adulto e Pediátrico acima de 
RESPRIN;ANALGESICOS NAO NARCOTICOS;CLORIDRATO DE FENILEFRINA;1,00;;SOLUÇAO ORAL;;Não;Adulto e Pediátrico acima de 
RESPRIN;ANALGESICOS NAO NARCOTICOS;CLORIDRATO DE FENILEFRINA;20,00;;COMPRIMIDO SIMPLES;;Não;Adulto e Pediátrico acima de 
RESPRIN;ANALGESICOS NAO NARCOTICOS;MALEATO DE CARBINOXAMINA;0,40;;SOLUÇAO ORAL;;Não;Adulto e Pediátrico acima de 
RESPRIN;ANALGESICOS NAO NARCOTICOS;MALEATO DE CARBINOXAMINA;4,00;;COMPRIMIDO SIMPLES;;Não;Adulto e Pediátrico acima de 
RESPRIN;ANALGESICOS NAO NARCOTICOS;PARACETAMOL;40,00;;SOLUÇAO ORAL;;Não;Adulto e Pediátrico acima de 
RESPRIN;ANALGESICOS NAO NARCOTICOS;PARACETAMOL;400,00;;COMPRIMIDO SIMPLES;;Não;Adulto e Pediátrico acima de 
RESTASIS;OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL;CICLOSPORINA;0.5;;EMULSAO TOPICA;;Não;Adulto
Restitue;ANTIACIDOS E ANTIULCEROSOS;pantoprazol magnésico di-hidratado;43,04;;Comprimido Revestido de Liberação Retardada;;Não;Adulto acima de
Restitue;ANTIACIDOS E ANTIULCEROSOS;pantoprazol magnésico di-hidratado;43,04;;Comprimido Revestido de Liberação Retardada;;Sim;Adulto acima de
Restiva;ANALGESICOS NARCOTICOS;BUPRENORFINA;5,0;;ADESIVO TRANSDERMICO;;Não;Adulto
Restiva;ANALGESICOS NARCOTICOS;BUPRENORFINA;20,0;;ADESIVO TRANSDERMICO;;Não;Adulto
Restiva;ANALGESICOS NARCOTICOS;BUPRENORFINA;10,0;;ADESIVO TRANSDERMICO;;Não;Adulto
RETEMIC;ANTIESPASMODICOS;CLORIDRATO DE OXIBUTININA;10,30;;Comprimido Revestido de Liberação Prolongada;;Não;Adulto e Pediátrico acima de 
RETEMIC;ANTIESPASMODICOS;CLORIDRATO DE OXIBUTININA;1,0;;XAROPE;;Não;Adulto e Pediátrico acima de 
RETEMIC;ANTIESPASMODICOS;CLORIDRATO DE OXIBUTININA;0,5;;SOLUÇAO INJETAVEL;;Não;Adulto e Pediátrico acima de 
RETEMIC;ANTIESPASMODICOS;CLORIDRATO DE OXIBUTININA;1,00;;XAROPE;;Não;Adulto e Pediátrico acima de 
RETEMIC;ANTIESPASMODICOS;CLORIDRATO DE OXIBUTININA;5,00;;COMPRIMIDO SIMPLES;;Não;Adulto e Pediátrico acima de 
RETEMIC;ANTIESPASMODICOS;CLORIDRATO DE OXIBUTININA;5,15;;Comprimido Revestido de Liberação Prolongada;;Não;Adulto e Pediátrico acima de 
RETEMIC;ANTIESPASMODICOS;CLORIDRATO DE OXIBUTININA;5,0;;SUPOSITORIO RETAL;;Não;Adulto e Pediátrico acima de 
RETENAC;REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL;CITRATO DE MAGNÉSIO;609;COMERCIAL;PO PARA PREPARAÇOES EXTEMPORANEA;INFANTIL;Não informado;Pediátrico
RETENAC;REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL;CITRATO DE POTÁSSIO MONOIDRATADO;1082;COMERCIAL;PO PARA PREPARAÇOES EXTEMPORANEA;INFANTIL;Não informado;Pediátrico
RETENAC;REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL;CITRATO DE SÓDIO;980;COMERCIAL;PO PARA PREPARAÇOES EXTEMPORANEA;INFANTIL;Não informado;Pediátrico
RETENAC;REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL;CLORETO DE POTÁSSIO;745;COMERCIAL;PO PARA PREPARAÇOES EXTEMPORANEA;INFANTIL;Não informado;Pediátrico
RETENAC;REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL;CLORETO DE SÓDIO;877;COMERCIAL;PO PARA PREPARAÇOES EXTEMPORANEA;INFANTIL;Não informado;Pediátrico
RETENAC;REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL;FOSFATO DE SÓDIO 32p;690;COMERCIAL;PO PARA PREPARAÇOES EXTEMPORANEA;INFANTIL;Não informado;Pediátrico
RETENAC;REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL;GLICOSE;34407;COMERCIAL;PO PARA PREPARAÇOES EXTEMPORANEA;INFANTIL;Não informado;Pediátrico
RETENAC;REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL;LACTATO DE CÁLCIO;610;COMERCIAL;PO PARA PREPARAÇOES EXTEMPORANEA;INFANTIL;Não informado;Pediátrico
RETTAN;OUTROS PRODUTOS COM ACAO NO TRATO URINARIO;CLORIDRATO DE TANSULOSINA;0.400;;CAPSULA GELATINOSA DURA COM AÇAO PROLONGADA;;Não;Adulto
REUPLAQ;ANTIMALARICOS;SULFATO DE HIDROXICLOROQUINA;400,00;;Comprimido Revestido ;;Não;Adulto e Pediátrico acima de 
REUQUINOL;ANTIMALARICOS;SULFATO DE HIDROXICLOROQUINA;400,000;;COMPRIMIDO REVESTIDO;;Não;Adulto e Pediátrico acima de 
REUQUINOL;ANTIMALARICOS;SULFATO DE HIDROXICLOROQUINA;400,000;COMERCIAL;COMPRIMIDO REVESTIDO;VENDA SOB PRESCRICAO MEDICA;Não;Adulto e Pediátrico acima de 
REVANGE;ANALGESICOS NARCOTICOS;CLORIDRATO DE TRAMADOL;37.5;;COMPRIMIDO REVESTIDO;;Não;Adulto
REVANGE;ANALGESICOS NARCOTICOS;PARACETAMOL;325;;COMPRIMIDO REVESTIDO;;Não;Adulto
REVATIO;VASODILATADORES;CITRATO DE SILDENAFILA;28,090;;COMPRIMIDO REVESTIDO;;Não;Adulto
REVESTIVE;OUTROS HORMONIOS E MODULADORES DO METABOLISMO E DA DIGESTAO;TEDUGLUTIDA;5;;PO LIOFILIZADO INJETAVEL + SOLUCAO DILUENTE;;Não;Adulto
REVLIMID;OUTROS AGENTES IMUNOSSUPRESSORES;lenalidomida;10;;Cápsula dura;;Não;Adulto acima de
